	C	FDR_C	I	FDR_I	G	FDR_G	FDR
1600010M07Rik	0.14187269652287393	0.20020313266527098	0.00023748370792424554	0.001142977826104952	1.5967454175203066e-05	7.632443095747066e-05	0.0014483104232361874
1600012H06Rik	0.007625034290783602	0.017930816178398975	0.1835637202355639	0.36791591216778285	0.26847123322992716	0.35359537828226567	0.10555563884910506
1600014C10Rik	0.3574585323594174	0.3971356188877473	0.20369397653086807	0.39446586482726803	0.3432934613669354	0.4074654328154316	0.8352451316736305
1600020E01Rik	0.021329107046929065	0.043044918049075176	0.09323423957187589	0.2231019080744351	0.0645958232084376	0.13165026447992512	0.9542216005943749
1700001L19Rik	1.1649258047141028e-05	4.897086212095021e-05	0.02145912897125535	0.0673105008928717	0.002857246810201497	0.00949734107637872	0.18049011994160089
1700007G11Rik	3.2519283964381036e-07	1.6510551580687745e-06	9.886965592957799e-05	0.0005035466520030846	0.0001312560888317993	0.0005565462632898318	3.426018151462395e-07
1700016D06Rik	0.08616510210583167	0.13483421199856988	0.1825048175278734	0.36624302825222843	0.26298362248408624	0.349657600640646	0.3122822017019443
1700019D03Rik	0.0006001127060067715	0.0018620976586954888	0.012245454043240579	0.04169326065660682	0.017139719643540885	0.04450774213337247	0.0007036060350544696
1700020I14Rik	3.010869523099157e-20	3.3912080984883493e-19	4.01730179557639e-24	6.328864999172515e-23	0.0	0.0	5.5820863851918085e-40
1700021F05Rik	0.01471354223540965	0.03137411573637141	0.7407611440938932	0.8733868909849667	0.3487285356081904	0.4110659112744687	0.41258662481427494
1700025G04Rik	0.10063035269674991	0.15257261737203348	0.07011077576572251	0.17881715037176338	0.06318109292595775	0.129467070175964	0.11000730477337865
1700030K09Rik	0.2542704431644304	0.3114495090710317	0.2947517565580775	0.5089466894295332	0.3823333718455957	0.43189958602611006	0.4579240060260204
1700034P13Rik	0.21833252388884455	0.2787892968719535	0.18556818917152362	0.3707202213438858	0.27501659856589744	0.3585819896371306	0.3475519859304356
1700037H04Rik	7.095652792333119e-05	0.00026427328662893286	1.1188163710521742e-05	6.422543421171796e-05	7.643557368597342e-06	3.77516223058898e-05	5.410382132802645e-05
1700066M21Rik	0.046150974145859246	0.08130769429257008	0.47861061646024294	0.6839564004470315	0.4029826850373641	0.4456797289198624	0.5117356444386084
1700084F23Rik	0.01620043924293151	0.034036048540763426	0.03830715109619109	0.11033855778705952	0.03802608628264181	0.08665526034502491	0.9610915348223047
1700086O06Rik	0.17239523505088472	0.2327632952234136	0.23758466128455746	0.4396774496557844	0.07765402665988841	0.15151967487858353	0.8841948666407743
1700112D23Rik	0.0686529908963831	0.11259090507006829	0.7052935191817044	0.853082589721635	0.41644998389594234	0.4546338449416599	0.6141676350402421
1700123O20Rik	0.0690530533598452	0.11319017562280413	0.8123930925777288	0.9129174213496748	0.12974205279946038	0.22071916239269312	0.5541763314132173
1810009A15Rik	0.09159968208758462	0.14162193496209413	0.39405408873297443	0.6124616638040848	0.48813644675334333	0.4933426117314753	0.5191092231421567
1810013L24Rik	0.38465220736363137	0.4183066144489868	0.8441188263361947	0.9286078060713842	0.3366961406680934	0.40328633203846076	0.35366992000388947
1810022K09Rik	0.06042613592580032	0.10159843959109768	0.0074549140791443265	0.027055815948716762	0.000541762728189843	0.002071296517179973	0.04970779122169161
1810030O07Rik	0.40294932374684767	0.43153010091752575	0.2655665863981975	0.47374603679518257	0.03259332037391882	0.07642544779708794	0.06793713163161741
1810037I17Rik	0.0002221077355761471	0.0007599279681950648	0.008248745906076079	0.02954293170089163	0.007846613030368377	0.022890431998981758	0.009267114800845197
1810041L15Rik	2.7879861795193726e-10	1.843419471869793e-09	0.0017874670825422019	0.007459706108105211	0.000625664376198598	0.002362576193591546	0.0007376346752898868
1810043G02Rik	0.3979149931601816	0.4276342419364575	0.8205933956134994	0.9164726494422109	0.274469571155845	0.3582157095411715	0.41989037952305963
1810055G02Rik	0.007387320979672184	0.017426181579154484	0.5866668871506482	0.7676362583217305	0.3108599334907748	0.3858548917739497	0.7453791856705504
1810058I24Rik	0.13857776811753364	0.19631683530196792	0.2856936279202391	0.4986661667243361	0.06413281634867751	0.13103366709772538	0.05535130527852035
2010107E04Rik	1.0521905854082668e-08	6.144466952571875e-08	3.472164633652136e-10	2.863951283262397e-09	4.440892098500626e-16	4.066944081608191e-15	2.575486476483934e-07
2010111I01Rik	0.0010142979418646752	0.0030036583657697047	0.00015467121459723028	0.0007681820739170094	0.00010715631554114591	0.00046094149955561403	0.003583643865608789
2010300C02Rik	4.652286299705556e-48	1.1512058952225946e-46	8.442901719926985e-69	3.019415837721333e-67	0.0	0.0	8.259714925576547e-110
2010315B03Rik	0.00399395430011137	0.01021847472239982	0.08885305036127715	0.2150462934595846	0.059843339331569934	0.12387090876849467	0.9686780305156621
2010320M18Rik	0.1346320772168621	0.19208790399651016	0.2075490719656643	0.39917043301109806	0.05180398738867076	0.11085985420868853	0.9459540331526999
2210016L21Rik	0.024554928971654837	0.048405851887776026	0.0008267366453399367	0.003647542722956344	2.5158146035986206e-05	0.00011761673330468933	0.010541881082485403
2210408I21Rik	0.0023501610628843296	0.006416614169741862	0.0329294055569997	0.09704518648211731	0.03842416914697533	0.08748104866896171	0.38592215890942144
2300009A05Rik	0.009767480042385278	0.022191406662493238	0.5239795006979834	0.7207292430291324	0.2968519427533268	0.3757196475089145	0.3254748486235466
2310009B15Rik	0.15970324275297265	0.2191781618678402	0.4913444940800422	0.6954621836617556	0.16750295930783277	0.2621145797281145	0.14998419956223424
2310011J03Rik	1.3457131572982434e-07	7.112536800628634e-07	0.47395162536271673	0.6799783275152652	0.2408905162377133	0.3309049115131203	0.516418712739555
2310022A10Rik	2.132545974168231e-11	1.5264293645635132e-10	0.0778873483856977	0.19450003232198057	0.20123456936587292	0.2954153625792043	0.9150211759236954
2310022B05Rik	4.031064943331665e-42	8.957008022609294e-41	1.0713193704924308e-06	6.821220605234133e-06	7.154467163150713e-08	4.2437423566412734e-07	2.832810857270886e-10
2310033P09Rik	0.03050687811993738	0.05809111906281896	0.5001442592187324	0.7023299559121918	0.4787570252338402	0.4881727461255359	0.7313512352581406
2310035C23Rik	0.008661202371278515	0.02003567564592969	0.11216000774994786	0.2570891031442664	0.08855480495075263	0.16794980940291085	0.17250492537026835
2310039H08Rik	0.01641248517599461	0.03443073051585767	0.9496141009013364	0.9775321622154586	0.35405558383150915	0.4140234931892612	0.51648900461675
2310057M21Rik	0.31946774571861025	0.36695163993631014	0.4992129877231991	0.7023299559121918	0.3934811906871927	0.4397087834721841	0.5868747972311682
2310061I04Rik	0.37050639030409327	0.40761110571346243	0.36222461618337554	0.5817527180011026	0.06453212443827105	0.13154780265667113	0.07004879588975091
2410002F23Rik	0.06956667873955709	0.11376974937971236	0.03287476747192982	0.09692407099330505	0.003957441442111964	0.012660453376185156	0.0068615257115904014
2410004B18Rik	0.23515752689844022	0.29406694819778145	0.7137860246517969	0.8591560318834243	0.2920800392218369	0.3726682687935911	0.5028811109694167
